1,02-041-04-L,Location,1
2,02-031-04-L,Location,1
4,01-Cab1-Right-Small,Location,40
5,02-034-03-L,Location,9
6,02-033-03-L,Location,28
7,01-022-03-R,Location,7
9,01-Cab2-Right-Small,Location,11
10,02-042-02-R,Location,1
11,CUB-10-04-.,Location,19
15,02-012-03-L,Location,14
16,04-023-03-L,Location,5
18,03-013-02-R,Location,3
19,01-032-02-R,Location,23
20,02-011-03-L,Location,26
21,01-041-03-R,Location,7
22,02-041-02-R,Location,5
23,02-021-03-L,Location,31
24,01-042-01-L,Location,4
28,02-042-01-R,Location,1
29,01-011-03-R,Location,3
31,03-033-02-L,Location,6
33,02-022-03-L,Location,11
34,02-024-03-L,Location,7
37,01-011-02-R,Location,7
40,01-012-04-R,Location,4
45,GC-42-07-01,Location,4
47,01-034-02-R,Location,13
48,CUB 2 ROW 2,Location,25
49,01-021-02-L,Location,3
50,02-032-03-L,Location,18
51,02-031-03-L,Location,18
52,02-023-03-L,Location,7
54,01-022-04-R,Location,6
55,01-012-04-L,Location,7
56,01-031-04-L,Location,6
59,01-032-04-L,Location,6
62,01-012-02-L,Location,3
63,01-011-03-L,Location,3
65,CUB03-ROW-04,Location,4
68,01-022-02-L,Location,5
71,01-011-04-L,Location,5
73,01-042-03-L,Location,2
78,01-022-04-L,Location,2
81,03-022-03-R,Location,2
83,03-041-02-R,Location,2
84,03-042-02-R,Location,6
85,03-031-03-R,Location,6
88,01-Cab1-Left-Small,Location,22
90,01-Cab1-Ctr-Large,Location,7
92,01-041-02-R,Location,13
95,02-043-03-R,Location,6
98,MPS-002-ROW-005,Update Location,1
99,01-042-02-L,Location,16
104,GC-11-15-01,Location,3
106,01-021-04-L,Location,2
108,01-041-04-L,Location,3
109,01-041-03-L,Location,2
110,04-011-01-L,Location,5
117,01-012-03-L,Location,5
119,01-032-03-R,Location,8
123,01-022-03-L,Location,7
125,01-012-01-L,Location,4
130,01-041-04-R,Location,8
137,01-031-04-R,Location,6
141,01-CUB1-ROW-001,Location,0
142,CUB-01-R1-C1,Location,0
143,03-023-03-R,Location,8
146,01-042-04-R,Location,3
148,02-012-01-L,Location,2
149,02-021-02-L,Location,15
150,01-032-04-R,Location,8
159,02-032-02-L,Location,18
165,01-011-05-L,Location,1
168,SHOP-08-03-R,Location,8
173,01-031-01-L,Location,4
174,01-042-02-R,Location,5
181,01-021-03-L,Location,4
183,02-042-01-L,Location,1
184,02-032-01-L,Location,1
185,01-041-01-R,Location,2
186,01-042-01-R,Location,1
198,01-042-04-L,Location,2
226,01-033-02-R,Location,11
228,02-011-02-R,Location,12
229,01-021-05-R,Location,4
230,SHOP-05-01-.,Location,17
231,02-011-02-L,Location,12
232,01-041-02-L,Location,3
233,02-011-01-L,Location,2
235,01-032-03-L,Location,8
236,02-012-02-L,Location,9
240,03-033-03-L,Location,12
243,03-032-03-L,Location,9
244,03-032-02-L,Location,14
248,03-012-02-L,Location,5
256,01-033-02-L,Location,1
258,01-031-03-R,Location,10
259,02-041-03-R,Location,44
261,02-022-03-R,Location,2
276,02-013-01-L,Location,8
296,Shop 05-01,Location,7
297,02-031-02-R,Location,22
299,03-022-03-L,Location,20
300,03-033-03-R,Location,9
301,04-043-04-L,Location,2
303,03-023-02-R,Location,8
304,02-012-02-R,Location,12
309,02-013-02-R,Location,9
311,01-023-02-R,Location,3
312,01-022-02-R,Location,4
316,03-011-02-L,Location,15
325,03-013-02-L,Location,15
336,04-022-03-L,Location,4
338,04-023-04-L,Location,2
351,02-031-03-R,Location,16
355,04-STR-03-R,Location,22
359,04-022-02-L,Location,4
361,02-032-03-R,Location,38
370,02-033-03-R,Location,14
380,02-013-03-L,Location,9
381,03-021-02-R,Location,2
389,02-042-03-L,Location,6
398,04-021-03-L,Location,5
399,01-042-05-L,Location,2
406,01-041-05-L,Location,1
407,03-033-04-L,Location,1
410,03-012-03-L,Location,3
414,03-011-02-R,Location,4
421,01-031-03-L,Location,5
426,01-032-01-L,Location,2
432,04-011-03-L,Location,5
435,03-011-03-L,Location,4
440,03-021-03-R,Location,4
448,01-021-03-R,Location,4
451,01-012-02-R,Location,1
469,03-031-04-R,Location,1
472,03-023-03-L,Location,11
477,01-022-05-R,Location,1
487,02-041-03-L,Location,17
488,MEZZ 01-01,Location,11
510,02-042-02-L,Location,1
513,02-043-02-R,Location,2
515,02-033-02-R,Location,12
516,04-013-04-L,Location,2
522,01-031-05-R,Location,1
523,01-021-01-L,Location,8
524,01-011-01-L,Location,2
532,01-022-01-L,Location,1
549,01-011-04-R,Location,11
564,03-031-02-L,Location,23
571,03-031-03-L,Location,15
572,02-013-02-L,Location,20
581,04-012-04-L,Location,1
594,01-032-02-L,Location,3
603,01-012-03-R,Location,5
616,03-032-02-R,Location,0
626,03-011-04-R,Location,1
631,02-013-03-R,Location,7
660,02-014-02-L,Location,3
661,04-022-04-L,Location,5
670,02-024-03-R,Location,1
671,04-011-04-L,Location,5
674,02-023-03-R,Location,6
675,02-012-04-L,Location,5
698,04-021-02-L,Location,14
711,02-044-03-R,Location,7
740,02-042-03-R,Location,6
744,04-013-03-L,Location,2
746,03-022-02-L,Location,1
747,02-033-04-R,Location,3
753,04-021-04-L,Location,5
776,SHOP-05-01-00,Location,1
786,03-021-03-L,Location,17
817,03-022-02-R,Location,0
822,04-011-02-L,Location,1
825,02-023-04-R,Location,4
829,01-31-02-L,Location,1
851,01-013-03-R,Location,3
857,02-021-02-R,Location,7
863,04-023-05-L,Location,0
901,02-013-04-R,Location,4
913,01-013-02-R,Location,3
938,02-034-03-R,Location,15
966,03-011-03-R,Location,5
971,SHOP-03-01-00,Location,1
1036,03-031-04-L,Location,7
1075,02-022-02-R,Location,8
1146,03-012-02-R,Location,2
1222,03-031-01-R,Location,1
1242,02-023-02-R,Location,6
1380,02-011-04-L,Location,4
1385,03-031-02-R,Location,0
1394,03-042-03-R,Location,3
1395,03-043-02-R,Location,3
1402,03-043-03-R,Location,1
1412,03-041-03-R,Location,1
1418,03-033-02-R,Location,2
1423,01-042-05-R,Location,7
1427,01-032-05-R,Location,5
1428,01-041-05-R,Location,4
1444,03-032-03-R,Location,4
1481,03-023-02-L,Location,4
1497,04-042-01-L,Location,1
1539,02-011-04-R,Location,5
1543,03-012-04-L,Location,2
1545,02-021-04-R,Location,2
1554,02-011-03-R,Location,9
1556,04-022-05-L,Location,0
1570,02-012-03-R,Location,2
1579,02-032-04-R,Location,4
1580,02-031-04-R,Location,4
1582,02-021-03-R,Location,3
1583,04-041-04-L,Location,2
1585,04-042-04-L,Location,2
1587,04-033-04-L,Location,2
1589,04-031-04-L,Location,1
1590,04-031-03-L,Location,1
1591,04-033-03-L,Location,1
1592,04-031-02-L,Location,1
1624,02-022-04-R,Location,6
1634,02-024-02-R,Location,1
1662,CUB-03-ROW-13,Location,1
1665,04-033-02-L,Location,2
1707,CUB-03-ROW-04,Location,1
